step,seed,budget,total_allocation,unallocated_budget,budget_utilization,reward,delta_lbr,delta_f,fairness_violation,fairness_cost,feasible,budget_respected,cap_respected,eligibility_ok,non_negative,log_prob,entropy
1,1001,496489926.49743235,496489926.4974325,0.0,1.0000000000000002,0.0014943000838882092,0.0022406913946764404,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
2,1001,531194639.10039634,531194639.1003963,5.960464477539063e-08,0.9999999999999999,0.0015900611733676608,0.003910118539118195,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
3,1001,519719341.382676,519719341.382676,0.0,1.0,0.0015593554085586406,0.005341603130098228,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
4,1001,442255515.6589175,442255515.6589175,0.0,1.0,0.0014129941960876798,0.006792838482042131,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
5,1001,422646824.6783448,422646824.6783448,0.0,1.0,0.0014075932623661732,0.00816961964869796,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
6,1001,412992054.7979402,412992054.7979402,0.0,1.0,0.0013909952132137437,0.009393169104487252,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
7,1001,492374633.71970874,492374633.7197089,0.0,1.0000000000000004,0.0016324532363332248,0.010240829202665558,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
8,1001,461271676.6103573,461271676.6103573,0.0,1.0,0.0014986576955163236,0.011112906549880865,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
9,1001,496319067.0209234,496319067.0209233,5.960464477539063e-08,0.9999999999999999,0.0016092848317424396,0.011742585018642553,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
10,1001,463986658.7215283,463986658.7215283,0.0,1.0,0.0015057672578484781,0.012460763340234875,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
11,1001,438820878.7207299,438820878.7207299,0.0,1.0,0.0014621060868271767,0.01308919709611205,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
12,1001,425430800.81282264,425430800.8128226,5.960464477539063e-08,0.9999999999999999,0.0014187526556108496,0.013758749577175721,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
13,1001,526755425.49042076,526755425.4904208,0.0,1.0000000000000002,0.0017418458309830514,0.014082239555079312,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
14,1001,393814058.9237478,393814058.9237478,0.0,1.0,0.0012610209292294432,0.014643438880361064,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
15,1001,456956936.71142244,456956936.71142244,0.0,1.0,0.001472597470428792,0.015093404126004541,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
16,1001,479361158.4838079,479361158.4838079,0.0,1.0,0.001521134559242342,0.015414263237419372,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
17,1001,414026144.1915165,414026144.1915165,0.0,1.0,0.0013495856639819635,0.01589638680267311,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
18,1001,501534401.3124077,501534401.3124077,0.0,1.0,0.0016451349754733116,0.016174653829443754,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
19,1001,475750208.60568696,475750208.60568696,0.0,1.0,0.001477103323059292,0.01647326224333519,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
20,1001,439566432.47969395,439566432.4796939,5.960464477539063e-08,0.9999999999999999,0.001344477882006712,0.016826442775138846,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
21,1001,470081865.70240027,470081865.7024002,5.960464477539063e-08,0.9999999999999999,0.0014218394875228446,0.017103321483329853,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
22,1001,526006201.39522743,526006201.3952274,5.960464477539063e-08,0.9999999999999999,0.0016495586893302938,0.017255913772791946,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
